sourceID,source,class_id,class_name,split,institutionCode,collectionCode,scientificName
601863684,inat,0,not_useful,val,,,
893473465,gbif,0,not_useful,train,BGBM,AlgaTerra,Monoraphidium arcuatum (Korshikov) Hindák
589803045,inat,0,not_useful,train,,,
580664961,inat,0,not_useful,train,,,
2005523508,gbif,0,not_useful,test,TENN,,Anomodon attenuatus (Hedw.) Huebener
608428803,inat,0,not_useful,test,,,
608244535,inat,0,not_useful,train,,,
608312831,inat,0,not_useful,test,,,
608406108,inat,0,not_useful,train,,,
608365443,inat,0,not_useful,train,,,
586564345,inat,0,not_useful,test,,,
893472534,gbif,0,not_useful,train,BGBM,AlgaTerra,"Lagerheimia genevensis (R.Chodat) R.Chodat, 1895"
2859305587,gbif,0,not_useful,train,CM,botany,Lemna minor L.
608403998,inat,0,not_useful,train,,,
520421872,inat,0,not_useful,train,,,
2859355602,gbif,0,not_useful,train,CM,botany,Brassica oleracea L.
608423103,inat,0,not_useful,train,,,
360575552,inat,0,not_useful,train,,,
599373156,inat,0,not_useful,train,,,
608055058,inat,0,not_useful,train,,,
2423893880,gbif,0,not_useful,train,USU,UTC,Fargesia nitida (Mitford) Keng f. ex T.P.Yi
608357790,inat,0,not_useful,train,,,
608434825,inat,0,not_useful,train,,,
608145239,inat,0,not_useful,test,,,
606249972,inat,0,not_useful,train,,,
5893462843,gbif,0,not_useful,train,SGAV-and-NHMD,,Blasia pusilla L.
591157945,inat,0,not_useful,val,,,
3024584389,gbif,0,not_useful,train,M-Lichens,BSMlichenscoll,Quercus robur L.
604763239,inat,0,not_useful,train,,,
3016532335,gbif,0,not_useful,train,TU,TU(B),Saxifraga hirculus subsp. alpina (Engl.) Á.Löve
606456491,inat,0,not_useful,train,,,
2859280666,gbif,0,not_useful,test,CM,botany,Colocasia esculenta (L.) Schott
2859095625,gbif,0,not_useful,train,CM,botany,Brassica napus L.
607359272,inat,0,not_useful,train,,,
1122718180,gbif,0,not_useful,train,M-Lichens,BSMmicrofexscoll,Digitaria ternata (A.Rich.) Stapf
582930091,inat,0,not_useful,train,,,
608222613,inat,0,not_useful,train,,,
2859308303,gbif,0,not_useful,train,CM,botany,Lemna minor L.
592656121,inat,0,not_useful,train,,,
606769323,inat,0,not_useful,val,,,
607503956,inat,0,not_useful,train,,,
3751300003,gbif,0,not_useful,train,UHM,HAW-A,Cylindrocapsa geminella Wolle
2859298300,gbif,0,not_useful,train,CM,botany,Spirodela polyrhiza (L.) Schleid.
1935656457,gbif,0,not_useful,train,GJO,Herbarium GJO,Blasia pusilla L.
581078523,inat,0,not_useful,val,,,
607656056,inat,0,not_useful,val,,,
601700491,inat,0,not_useful,train,,,
608417427,inat,0,not_useful,train,,,
2859308302,gbif,0,not_useful,train,CM,botany,Spirodela polyrhiza (L.) Schleid.
608309160,inat,0,not_useful,test,,,
2859117824,gbif,0,not_useful,val,CM,botany,Allium schoenoprasum L.
523153546,inat,0,not_useful,train,,,
604939616,inat,0,not_useful,train,,,
608314500,inat,0,not_useful,val,,,
2859304302,gbif,0,not_useful,train,CM,botany,Lemna minor L.
561365364,inat,0,not_useful,val,,,
2859024435,gbif,0,not_useful,train,CM,botany,Lemna minor L.
608008651,inat,0,not_useful,val,,,
608430475,inat,0,not_useful,val,,,
608107416,inat,0,not_useful,val,,,
608007682,inat,0,not_useful,test,,,
608092502,inat,0,not_useful,test,,,
607347740,inat,0,not_useful,val,,,
598714765,inat,0,not_useful,val,,,
605781903,inat,0,not_useful,test,,,
608312842,inat,0,not_useful,val,,,
608412988,inat,0,not_useful,test,,,
608417558,inat,0,not_useful,val,,,
608442658,inat,0,not_useful,train,,,
3751289493,gbif,0,not_useful,train,UHM,HAW-A,Tetraspora lubrica W.West & G.S.West
607419415,inat,0,not_useful,train,,,
520682514,inat,0,not_useful,train,,,
608389466,inat,0,not_useful,test,,,
607402372,inat,0,not_useful,val,,,
607710773,inat,0,not_useful,val,,,
608321339,inat,0,not_useful,val,,,
607972950,inat,0,not_useful,train,,,
608107550,inat,0,not_useful,train,,,
608163395,inat,0,not_useful,train,,,
606407205,inat,0,not_useful,test,,,
2859306720,gbif,0,not_useful,train,CM,botany,Lemna minor L.
2859282640,gbif,0,not_useful,train,CM,botany,Spirodela polyrhiza (L.) Schleid.
607611002,gbif,0,not_useful,test,MNHN,P,Galium tendae Rchb.f.
608314288,inat,0,not_useful,train,,,
608315586,inat,0,not_useful,test,,,
608090884,inat,0,not_useful,train,,,
2859304629,gbif,0,not_useful,train,CM,botany,Lemna minor L.
500140731,inat,0,not_useful,train,,,
607499702,inat,0,not_useful,val,,,
4092654973,gbif,0,not_useful,train,UARK,,Cladomnion ericoides (Hook.) Wilson
608427598,inat,0,not_useful,train,,,
608417536,inat,0,not_useful,train,,,
591672711,inat,0,not_useful,val,,,
607281666,inat,0,not_useful,test,,,
4849454815,gbif,0,not_useful,train,BUT,,Jubula pennsylvanica (Steph.) A.Evans
4121799329,gbif,0,not_useful,train,OBI,,Orthotrichum rupestre Schleich. ex Schwägr.
514560351,inat,0,not_useful,train,,,
604439953,inat,0,not_useful,train,,,
607418166,inat,0,not_useful,train,,,
606916184,inat,0,not_useful,train,,,
607147466,inat,0,not_useful,test,,,
608409957,inat,0,not_useful,test,,,
607974301,inat,0,not_useful,val,,,
607878385,inat,0,not_useful,val,,,
2849411471,gbif,0,not_useful,train,NMR,NMR Collection,Hedera helix L.
608199462,inat,0,not_useful,val,,,
607863385,inat,0,not_useful,train,,,
463154465,inat,0,not_useful,train,,,
592911513,inat,0,not_useful,train,,,
180867188,inat,0,not_useful,train,,,
2859469356,gbif,0,not_useful,train,CM,botany,Capsicum annuum L.
581398324,inat,0,not_useful,train,,,
608332390,inat,0,not_useful,train,,,
582255905,inat,0,not_useful,train,,,
584277997,inat,0,not_useful,train,,,
607759996,inat,0,not_useful,train,,,
2428985319,gbif,0,not_useful,train,K,Economic Botany,Michelia champaca L.
608348370,inat,0,not_useful,test,,,
608419682,inat,0,not_useful,test,,,
608436380,inat,0,not_useful,train,,,
607894805,inat,0,not_useful,val,,,
557674878,inat,0,not_useful,val,,,
2242353075,gbif,0,not_useful,train,DBG,KHD,Penstemon glaber Pursh
608288739,inat,0,not_useful,val,,,
608399637,inat,0,not_useful,train,,,
608348838,inat,0,not_useful,train,,,
5922591510,gbif,0,not_useful,train,NRM,POLLENREFERENCE,Premna humbertii Moldenke
608316367,inat,0,not_useful,train,,,
2859307627,gbif,0,not_useful,train,CM,botany,Spirodela polyrhiza (L.) Schleid.
587361351,inat,0,not_useful,train,,,
488856914,inat,0,not_useful,test,,,
601821908,inat,0,not_useful,test,,,
3001188174,gbif,0,not_useful,test,TAM,TAM,Carduus crispus L.
608430898,inat,0,not_useful,train,,,
608290529,inat,0,not_useful,train,,,
4105913333,gbif,0,not_useful,test,TUR,,Pityrogramma chrysophylla (Sw.) Link
604053646,inat,0,not_useful,train,,,
608445306,inat,0,not_useful,train,,,
4092653885,gbif,0,not_useful,train,UARK,,Grimmia laevigata (Brid.) Brid.
598324416,inat,0,not_useful,train,,,
2859296402,gbif,0,not_useful,train,CM,botany,Pinus rigida Mill.
605730372,inat,0,not_useful,train,,,
608425145,inat,0,not_useful,train,,,
596280758,inat,0,not_useful,train,,,
395786207,inat,0,not_useful,val,,,
600838295,inat,0,not_useful,train,,,
608288059,inat,0,not_useful,test,,,
2859155974,gbif,0,not_useful,train,CM,botany,Pisum sativum L.
608075191,inat,0,not_useful,val,,,
579011075,inat,0,not_useful,val,,,
608121459,inat,0,not_useful,val,,,
589788041,inat,0,not_useful,val,,,
4031580062,gbif,0,not_useful,train,MO,Tropicos,Magnolia shuariorum F.Arroyo & A.Vázquez
608435894,inat,0,not_useful,val,,,
608427041,inat,0,not_useful,test,,,
607418400,inat,0,not_useful,train,,,
608146692,inat,0,not_useful,val,,,
584220222,inat,0,not_useful,train,,,
